Product,Price,PhysicalSpecs
PlayStation 4 Pro,$399.99,8-core Jaguar AMD @ 2.1GHz
Microsoft Xbox One S,$244.94,8-core Jaguar CPU @1.75GHz
PlayStation 4 Slim,$318,8-core Jaguar AMD Jaguar @1.6GHz
